id,contour_index,parent_contour_index,x,y,width,height,area,aspect_ratio,area_ratio,width_ratio,height_ratio,center_x,center_y,depth,children,siblings,edge_density,border_edge_density,horizontal_edge_density,vertical_edge_density,contour_density,dark_pixel_ratio,bright_pixel_ratio,interior_content_density,structural_type,structural_confidence
14,1113,,1669,126,250,19,4750,13.157895,0.002147,0.130276,0.016479,0.934862,0.11752,0,0,79,0.083789,0.057263,0.053474,0.009053,0.004,0.020211,0.961053,0.050136,UNKNOWN,0.4
15,940,785,457,173,115,33,3795,3.484848,0.001715,0.059927,0.028621,0.268108,0.164354,1,1,12,0.108827,0.001581,0.041107,0.023452,0.005534,0.021344,0.861924,0.072693,UNKNOWN,0.4
16,783,,1537,173,100,33,3300,3.030303,0.001491,0.05211,0.028621,0.826993,0.164354,0,0,79,0.0,0.0,0.0,0.0,0.000606,0.0,1.0,0.0,UNKNOWN,0.4
17,786,785,1437,173,99,33,3267,3.0,0.001477,0.051589,0.028621,0.774622,0.164354,1,1,12,0.112335,0.001837,0.039486,0.019284,0.006428,0.020202,0.849097,0.085299,UNKNOWN,0.4
18,807,785,1337,173,99,33,3267,3.0,0.001477,0.051589,0.028621,0.722512,0.164354,1,1,12,0.10652,0.001837,0.040098,0.017447,0.00704,0.022345,0.858892,0.073684,UNKNOWN,0.4
19,830,785,1237,173,99,33,3267,3.0,0.001477,0.051589,0.028621,0.670401,0.164354,1,1,12,0.107438,0.001837,0.035813,0.01959,0.005816,0.022651,0.850321,0.083848,UNKNOWN,0.4
20,849,785,1137,173,99,33,3267,3.0,0.001477,0.051589,0.028621,0.618291,0.164354,1,1,12,0.084175,0.001837,0.035813,0.017141,0.004591,0.010407,0.872054,0.058076,UNKNOWN,0.4
21,960,940,459,175,111,29,3219,3.827586,0.001455,0.057843,0.025152,0.268108,0.164354,2,0,0,0.083256,0.0,0.013669,0.018329,0.006213,0.025163,0.927307,0.087477,UNKNOWN,0.4
22,427,,52,919,148,20,2960,7.4,0.001338,0.077124,0.017346,0.065659,0.805724,0,0,79,0.053378,0.0,0.009797,0.009122,0.004392,0.0,0.949662,0.06467,UNKNOWN,0.4
23,1110,,41,128,75,39,2925,1.923077,0.001322,0.039083,0.033825,0.040907,0.127927,0,0,79,0.230085,0.046838,0.099829,0.043761,0.009915,0.064957,0.791453,0.189537,UNKNOWN,0.4
24,806,786,1439,175,95,29,2755,3.275862,0.001245,0.049505,0.025152,0.774622,0.164354,2,0,0,0.086388,0.0,0.011978,0.011978,0.00726,0.023956,0.914701,0.103297,UNKNOWN,0.4
25,829,807,1339,175,95,29,2755,3.275862,0.001245,0.049505,0.025152,0.722512,0.164354,2,0,0,0.079492,0.0,0.012704,0.0098,0.007985,0.026497,0.926316,0.089231,UNKNOWN,0.4
26,848,830,1239,175,95,29,2755,3.275862,0.001245,0.049505,0.025152,0.670401,0.164354,2,0,0,0.080581,0.0,0.007623,0.012341,0.006534,0.02686,0.916152,0.101538,UNKNOWN,0.4
27,863,849,1139,175,95,29,2755,3.275862,0.001245,0.049505,0.025152,0.618291,0.164354,2,0,0,0.052995,0.0,0.007623,0.009437,0.005082,0.012341,0.941924,0.07033,UNKNOWN,0.4
28,916,785,573,173,81,33,2673,2.454545,0.001208,0.042209,0.028621,0.319698,0.164354,1,1,12,0.136925,0.002245,0.049009,0.035166,0.008979,0.027684,0.832024,0.101657,UNKNOWN,0.4
29,961,785,375,173,81,33,2673,2.454545,0.001208,0.042209,0.028621,0.216519,0.164354,1,1,12,0.144033,0.002245,0.044145,0.034044,0.007108,0.032548,0.822671,0.112853,UNKNOWN,0.4
30,939,916,575,175,77,29,2233,2.655172,0.001009,0.040125,0.025152,0.319698,0.164354,2,0,0,0.114196,0.0,0.023735,0.028661,0.0103,0.033139,0.898343,0.124384,UNKNOWN,0.4
31,979,961,377,175,77,29,2233,2.655172,0.001009,0.040125,0.025152,0.216519,0.164354,2,0,0,0.122705,0.002239,0.017913,0.027318,0.008061,0.038961,0.887147,0.138082,UNKNOWN,0.4
32,999,785,109,173,65,33,2145,1.969697,0.000969,0.033872,0.028621,0.073736,0.164354,1,1,12,0.069464,0.002797,0.034033,0.024709,0.002797,0.004662,0.894639,0.02035,UNKNOWN,0.4
33,739,728,1236,213,100,21,2100,4.761905,0.000949,0.05211,0.018213,0.670141,0.193842,1,1,3,0.025238,0.01,0.005238,0.01619,0.001905,0.0,0.967143,0.029412,UNKNOWN,0.4
34,730,728,1437,213,99,21,2079,4.714286,0.00094,0.051589,0.018213,0.774622,0.193842,1,1,3,0.015392,0.0,0.005291,0.006253,0.001924,0.0,0.976912,0.029721,UNKNOWN,0.4
35,734,728,1337,213,99,21,2079,4.714286,0.00094,0.051589,0.018213,0.722512,0.193842,1,1,3,0.015392,0.0,0.005291,0.006253,0.001924,0.0,0.976912,0.029721,UNKNOWN,0.4
36,297,,264,1139,139,14,1946,9.928571,0.00088,0.072434,0.012142,0.173788,0.993929,0,0,79,0.307811,0.086331,0.052929,0.053443,0.014902,0.096608,0.672148,0.351852,UNKNOWN,0.4
37,915,888,755,175,63,29,1827,2.172414,0.000826,0.03283,0.025152,0.409849,0.164354,2,0,1,0.003831,0.003831,0.0,0.0,0.000547,0.0,0.996716,0.0,UNKNOWN,0.4
38,1004,999,111,175,61,29,1769,2.103448,0.0008,0.031787,0.025152,0.073736,0.164354,2,0,0,0.030526,0.0,0.006218,0.013002,0.002826,0.005653,0.97965,0.025263,UNKNOWN,0.4
39,994,785,175,173,49,33,1617,1.484848,0.000731,0.025534,0.028621,0.10396,0.164354,1,1,12,0.102659,0.003711,0.03154,0.027829,0.003092,0.017934,0.845393,0.070498,UNKNOWN,0.4
40,743,,0,213,38,38,1444,1.0,0.000653,0.019802,0.032958,0.009901,0.201214,0,0,79,0.202216,0.054017,0.050554,0.050554,0.00554,0.0,0.779086,0.200692,UNKNOWN,0.4
41,998,994,177,175,45,29,1305,1.551724,0.00059,0.02345,0.025152,0.10396,0.164354,2,0,0,0.066667,0.0,0.003831,0.011494,0.003065,0.022222,0.929502,0.089756,UNKNOWN,0.4
42,441,440,210,917,52,24,1248,2.166667,0.000564,0.027097,0.020815,0.122981,0.805724,1,1,0,0.272436,0.115385,0.161859,0.092949,0.007212,0.0,0.846154,0.054167,UNKNOWN,0.4
43,657,,1675,227,91,13,1183,7.0,0.000535,0.047421,0.011275,0.896561,0.202515,0,0,79,0.169907,0.006762,0.048183,0.025359,0.010989,0.0,0.874049,0.163474,UNKNOWN,0.4
