id,contour_index,parent_contour_index,x,y,width,height,area,aspect_ratio,area_ratio,width_ratio,height_ratio,center_x,center_y,depth,children,siblings,edge_density,border_edge_density,horizontal_edge_density,vertical_edge_density,contour_density,dark_pixel_ratio,bright_pixel_ratio,interior_content_density,structural_type,structural_confidence
73,1345,,345,32,22,25,550,0.88,0.000249,0.011464,0.021683,0.185513,0.038595,0,0,79,0.312727,0.054545,0.078182,0.092727,0.010909,0.0,0.569091,0.462963,UNKNOWN,0.4
74,1170,1119,336,96,24,22,528,1.090909,0.000239,0.012507,0.019081,0.181344,0.092801,2,0,15,0.405303,0.117424,0.149621,0.149621,0.00947,0.0,0.511364,0.475,UNKNOWN,0.4
75,1362,,581,31,22,24,528,0.916667,0.000239,0.011464,0.020815,0.308494,0.037294,0,0,79,0.407197,0.155303,0.153409,0.054924,0.024621,0.003788,0.111742,0.902778,UNKNOWN,0.4
76,1442,,139,30,21,25,525,0.84,0.000237,0.010943,0.021683,0.077905,0.03686,0,0,79,0.249524,0.057143,0.049524,0.059048,0.011429,0.0,0.851429,0.187675,UNKNOWN,0.4
77,1448,,102,30,21,25,525,0.84,0.000237,0.010943,0.021683,0.058624,0.03686,0,0,79,0.24381,0.059048,0.055238,0.060952,0.011429,0.0,0.569524,0.52381,UNKNOWN,0.4
78,1334,,870,32,23,22,506,1.045455,0.000229,0.011985,0.019081,0.459354,0.037294,0,0,79,0.322134,0.098814,0.067194,0.067194,0.007905,0.0,0.563241,0.476608,UNKNOWN,0.4
79,1318,,380,37,28,18,504,1.555556,0.000228,0.014591,0.015611,0.205315,0.039896,0,0,79,0.392857,0.125,0.190476,0.144841,0.007937,0.027778,0.382937,0.71131,UNKNOWN,0.4
80,361,360,9,1023,22,22,484,1.0,0.000219,0.011464,0.019081,0.010422,0.896791,1,0,0,0.318182,0.136364,0.099174,0.080579,0.006198,0.0,0.570248,0.388889,UNKNOWN,0.4
81,575,,9,572,22,22,484,1.0,0.000219,0.011464,0.019081,0.010422,0.505637,0,0,79,0.280992,0.173554,0.126033,0.136364,0.008264,0.0,0.404959,0.395062,UNKNOWN,0.4
82,579,,9,534,22,22,484,1.0,0.000219,0.011464,0.019081,0.010422,0.47268,0,0,79,0.365702,0.173554,0.179752,0.17562,0.010331,0.0,0.206612,0.691358,UNKNOWN,0.4
83,1158,1119,56,97,22,22,484,1.0,0.000219,0.011464,0.019081,0.034914,0.093669,2,1,15,0.396694,0.167355,0.13843,0.183884,0.018595,0.0,0.60124,0.358025,UNKNOWN,0.4
84,1402,,877,30,18,26,468,0.692308,0.000212,0.00938,0.02255,0.461699,0.037294,0,0,79,0.405983,0.138889,0.132479,0.130342,0.008547,0.0,0.50641,0.512987,UNKNOWN,0.4
